taxa_name,hosts,place,latitude,longitude
Hypomyces orthosporus,Polyporales,China (Tibet),31.6692025,87.473225
Hypomyces orthosporus,Polyporales,Estonia,58.7523778,25.3319078
Hypomyces orthosporus,Polyporales,Finland,63.2467777,25.9209164
Hypomyces orthosporus,Polyporales,The Netherlands,52.2434979,5.6343227
Hypomyces papulasporae,"Geoglossum difforme, G. fallax, G. glabrum, G. nigritum, G. simile, Glutinoglossum glutinosum, Trichoglossum hirsutum, T. walteri",China,35.0000663,104.999955
Hypomyces papulasporae,"Geoglossum difforme, G. fallax, G. glabrum, G. nigritum, G. simile, Glutinoglossum glutinosum, Trichoglossum hirsutum, T. walteri",USA,39.7837304,-100.445882
Hypomyces papulasporae,"Geoglossum difforme, G. fallax, G. glabrum, G. nigritum, G. simile, Glutinoglossum glutinosum, Trichoglossum hirsutum, T. walteri",New Zealand,-41.5000831,172.8344077
Hypomyces polyporinus,"Auricularia auricula-judae, Polyporales, Trametes versicolor, T. pubescens, Polyporus sp.",Canada,61.0666922,-107.991707
Hypomyces polyporinus,"Auricularia auricula-judae, Polyporales, Trametes versicolor, T. pubescens, Polyporus sp.",China (Guangxi),-8.8191074,13.2435036
Hypomyces polyporinus,"Auricularia auricula-judae, Polyporales, Trametes versicolor, T. pubescens, Polyporus sp.",USA,39.7837304,-100.445882
Hypomyces pseudolactifluorum sp. nov.,Russula sp.,China (Yunnan),25.0,102.0
Hypomyces rosellus,"Agaricus bisporus, Armillaria sp., Hydnellum sp., Hyphoderma sp., Mycena sp., Polyporus sp., Russula sp., Trichaptum sp.",China (Gansu),38.0000001,101.9999999
Hypomyces rosellus,"Agaricus bisporus, Armillaria sp., Hydnellum sp., Hyphoderma sp., Mycena sp., Polyporus sp., Russula sp., Trichaptum sp.",Europe,51.0,10.0
Hypomyces rosellus,"Agaricus bisporus, Armillaria sp., Hydnellum sp., Hyphoderma sp., Mycena sp., Polyporus sp., Russula sp., Trichaptum sp.",Iran,32.6475314,54.5643516
Hypomyces rosellus,"Agaricus bisporus, Armillaria sp., Hydnellum sp., Hyphoderma sp., Mycena sp., Polyporus sp., Russula sp., Trichaptum sp.",Japan,36.5748441,139.2394179
Hypomyces rosellus,"Agaricus bisporus, Armillaria sp., Hydnellum sp., Hyphoderma sp., Mycena sp., Polyporus sp., Russula sp., Trichaptum sp.",Korea,37.9528488,126.7331171
Hypomyces rosellus,"Agaricus bisporus, Armillaria sp., Hydnellum sp., Hyphoderma sp., Mycena sp., Polyporus sp., Russula sp., Trichaptum sp.",USA,39.7837304,-100.445882
Hypomyces semicircularis,"Ganoderma sichuanense, Microporus xanthopus",Cuba,23.0131338,-80.8328748
Hypomyces semicircularis,"Ganoderma sichuanense, Microporus xanthopus",China,35.0000663,104.999955
Hypomyces sibirinae,"Aphyllophorales, Boletus sp., Polyporales",China (Hunan),27.6662087,111.7487063
Hypomyces sibirinae,"Aphyllophorales, Boletus sp., Polyporales",Indonesia,-2.4833826,117.8902853
Hypomyces sibirinae,"Aphyllophorales, Boletus sp., Polyporales",USA,39.7837304,-100.445882
Hypomyces sinicus,Schizophyllum sp.,China (Anhui),32.0,117.0
Hypomyces stephanomatis,"Humaria hemisphaerica, Humaria sp.",Canada,61.0666922,-107.991707
Hypomyces stephanomatis,"Humaria hemisphaerica, Humaria sp.",China (Hubei),39.0000001,116.0
Hypomyces stephanomatis,"Humaria hemisphaerica, Humaria sp.",Germany,51.1638175,10.4478313
Hypomyces stephanomatis,"Humaria hemisphaerica, Humaria sp.",USA,39.7837304,-100.445882
Hypomyces subiculosus,"Polyporaceae (Microporus affinis, Trametes versicolor)",China (Anhui,32.0,117.0
Hypomyces subiculosus,"Polyporaceae (Microporus affinis, Trametes versicolor)",Beijing,40.190632,116.412144
Hypomyces subiculosus,"Polyporaceae (Microporus affinis, Trametes versicolor)",Guangxi,24.0,109.0
Hypomyces subiculosus,"Polyporaceae (Microporus affinis, Trametes versicolor)",Zhejiang),29.0000001,119.9999999
Hypomyces subiculosus,"Polyporaceae (Microporus affinis, Trametes versicolor)",Cuba,23.0131338,-80.8328748
Hypomyces subiculosus,"Polyporaceae (Microporus affinis, Trametes versicolor)",Japan,36.5748441,139.2394179
Hypomyces succineus,Pholiota sp.,China (Taiwan),-7.1043002,-34.8361604
Hypomyces succineus,Pholiota sp.,USA,39.7837304,-100.445882
Hypomyces tegillum,"Aphyllophorales, Polyporales",Brazil,-10.3333333,-53.2
Hypomyces tegillum,"Aphyllophorales, Polyporales",China (Guangxi,-8.8191074,13.2435036
Hypomyces tegillum,"Aphyllophorales, Polyporales",Yunnan),25.0,102.0
Hypomyces tegillum,"Aphyllophorales, Polyporales",Panama,8.559559,-81.1308434
Hypomyces tegillum,"Aphyllophorales, Polyporales",USA,39.7837304,-100.445882
Hypomyces triseptatus,Bark or associated with an ascomycete; Pyrenomycete,China (Hunan,27.6662087,111.7487063
Hypomyces triseptatus,Bark or associated with an ascomycete; Pyrenomycete,Guangdong),23.1357694,113.1982688
Hypomyces triseptatus,Bark or associated with an ascomycete; Pyrenomycete,Gabon,-0.8999695,11.6899699
Hypomyces yunnanensis,Boletus sp.,China (Yunnan),25.0,102.0
